"15/18" "18/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "15/16" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.423399 0.419418 0.386329 0.361273 0.361719 0.373415 0.383164 0.451037 0.387088 0.387207 0.322711 0.408678 0.334801 0.388363 2832.74 743.697 79.8889 125.243
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.372495 0.408459 0.442014 0.38582 0.429548 0.422655 0.451416 0.342162 0.388278 0.359293 0.399379 0.353443 0.406728 0.394644 2585.22 584.179 82.3964 125.856
"18/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.475002 0.439463 0.503162 0.424591 0.406266 0.461279 0.460222 0.43652 0.39878 0.433558 0.451236 0.505959 0.430882 0.457523 1080.53 59.2326 95.5257 113.077
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/13" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/12" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.463553 0.536206 0.412273 0.461225 0.444253 0.504694 0.510408 0.47287 0.487387 0.441037 0.423224 0.393871 0.471027 0.466628 1195.42 46.6637 95.5257 109.046
"15/18" "15/19" "22/23" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/21" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.134002 0.188367 0.174249 0.214428 0.186852 0.188557 0.214069 0.18139 0.203209 0.19528 0.230347 0.225606 0.235639 0.189449 1106.42 1913.13 30.8369 128.657
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "23/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.109029 0.0986756 0.0942643 0.0847458 0.0751152 0.124289 0.12218 0.110503 0.136928 0.0864536 0.0399709 0.106158 0.112046 0.0901188 747.469 4115.27 12.1007 113.078
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/12" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/12" 0.382754 0.368373 0.409028 0.405953 0.339879 0.449479 0.416341 0.382694 0.428003 0.367302 0.447408 0.394709 0.421378 0.407799 1301.02 236.281 84.9038 122.844
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "10/11" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/10" "12/12" 0.389613 0.443054 0.467364 0.418481 0.466744 0.368163 0.466532 0.442623 0.382132 0.402099 0.405993 0.428568 0.428886 0.423973 638.234 107.006 88.961 120.507
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/8" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/8" "8/11" "12/12" 0.141746 0.173589 0.226803 0.221854 0.187892 0.199975 0.188242 0.197426 0.183831 0.280814 0.204047 0.167899 0.204594 0.186976 182.905 378.446 30.8369 130.739
"15/18" "15/19" "22/23" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/21" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.135167 0.12712 0.194161 0.172748 0.237579 0.122766 0.18396 0.117424 0.27072 0.165552 0.134097 0.120372 0.134205 0.163004 412.186 1051.08 24.2723 120.499
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/11" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/10" "12/12" 0.345556 0.454863 0.3324 0.446206 0.395414 0.410251 0.396391 0.401459 0.391466 0.34772 0.438996 0.377646 0.399037 0.402815 1515.66 300.993 82.3964 121.673
"15/18" "15/19" "21/22" "12/13" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "14/16" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.247574 0.226711 0.211516 0.193486 0.29459 0.212703 0.161531 0.22575 0.240931 0.203663 0.236512 0.191044 0.23331 0.23344 667.351 769.67 41.4587 133.856
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.0753114 0.0528879 0.0536247 0.046449 0.0972574 0.104529 0.0652638 0.0941123 0.127338 0.0908845 0.0683378 0.0556887 0.128384 0.0847463 205.268 1324.76 9.59324 93.8064
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "23/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.490588 0.433366 0.490465 0.42809 0.486767 0.420389 0.510519 0.486958 0.483256 0.432691 0.424293 0.493056 0.405442 0.471558 2825.52 61.8246 97.0754 108.665
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "10/11" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.334822 0.342092 0.39306 0.275674 0.315319 0.269657 0.287884 0.33881 0.371178 0.285952 0.340257 0.280422 0.301418 0.324515 847.437 390.745 65.2099 134.654
"15/18" "15/19" "21/22" "12/16" "30/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.423041 0.455248 0.33456 0.428183 0.394486 0.371557 0.384202 0.471702 0.376967 0.404761 0.316563 0.370451 0.357914 0.383817 2996.74 791.686 79.8889 127.649
"15/18" "18/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "15/16" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.148012 0.178471 0.238837 0.126557 0.19817 0.190567 0.125338 0.195857 0.148412 0.164449 0.156916 0.168714 0.216316 0.160587 65.3094 181.67 24.2723 122.647
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "6/8" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "12/12" 0.41491 0.422223 0.475594 0.474448 0.468308 0.415701 0.430416 0.404996 0.428631 0.416262 0.383655 0.39872 0.465021 0.427924 3696.25 438.643 88.961 118.592
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.376154 0.397773 0.383255 0.334265 0.312705 0.362269 0.353136 0.350453 0.418435 0.360882 0.347912 0.392312 0.32103 0.362944 2967.69 1039.39 74.282 129.628
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.468725 0.473355 0.506894 0.461682 0.480325 0.415319 0.464491 0.479154 0.461042 0.413365 0.479563 0.395448 0.48815 0.459865 642.225 27.7897 95.5257 112.025
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/11" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.358894 0.414631 0.377 0.47736 0.409989 0.374939 0.491748 0.419666 0.373971 0.445515 0.39255 0.407314 0.449216 0.428352 270.706 32.8784 88.961 118.387
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/8" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "10/11" "12/12" 0.361865 0.426681 0.448464 0.396368 0.439474 0.415808 0.484982 0.460939 0.443512 0.427858 0.399688 0.414525 0.422828 0.414584 1335.05 201.389 86.4535 121.665
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.360611 0.332043 0.376471 0.323492 0.414512 0.377761 0.32238 0.354407 0.347598 0.395796 0.427302 0.336533 0.377364 0.342889 898.921 419.499 69.2671 131.827
"15/18" "15/19" "21/22" "12/13" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "14/16" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.0815168 0.100332 0.0899506 0.0685493 0.0558414 0.0695796 0.115257 0.0445757 0.0824299 0.0745784 0.077469 0.11067 0.0818227 0.0767917 210.099 1505.42 9.59324 104.31
"16/16" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.396506 0.349491 0.389879 0.394243 0.416543 0.397942 0.364281 0.330658 0.433815 0.41564 0.398785 0.367009 0.37325 0.38933 2445.71 584.916 79.8889 124.738
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/12" "10/11" "12/14" "8/8" "8/11" "12/12" 0.0240397 0.0622336 0.0140252 0.062238 0.0346563 0.034422 0.0550427 0.0758629 0.0202556 0.0294969 0.0768296 0.0313058 0.0221152 0.0368404 62.586 1681.66 3.02859 54.0357
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "13/14" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "11/12" "8/8" "8/11" "12/12" 0.451921 0.406117 0.404559 0.433659 0.414744 0.411733 0.453984 0.432946 0.422981 0.44018 0.38498 0.416613 0.44564 0.420474 497.302 67.5325 86.4535 118.778
"15/18" "15/19" "21/22" "12/16" "28/32.2" "12/17" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "13/18" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.111428 0.12081 0.0958531 0.11996 0.0834817 0.109221 0.0548461 0.110313 0.102191 0.150475 0.0990797 0.0798751 0.0741227 0.0859443 472.859 2802.28 9.59324 92.3929
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/14" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/13" "8/8" "8/11" "12/12" 0.327499 0.223357 0.26606 0.273833 0.329485 0.261132 0.293306 0.274838 0.252918 0.22692 0.223388 0.277452 0.266145 0.259339 367.854 342.188 48.0234 135.297
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.0466977 0.0393448 0.0388209 0.0539858 0.0422862 0.0800384 0.0556417 0.0732078 0.0763325 0.0500755 0.0410053 0.0311204 0.0282226 0.0470065 157.371 2374.4 5.53606 92.9625
